"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality" "colour"
"4119" 6.3 0.24 0.55 8.1 0.04 67 216 0.99596 3.24 0.5 9.2 5 "white"
"4131" 6.7 0.54 0.27 7.1 0.049 8 178 0.99502 3.16 0.38 9.4 4 "white"
"4143" 6.5 0.23 0.25 17.3 0.046 15 110 0.99828 3.15 0.42 9.2 6 "white"
"4144" 6.9 0.32 0.3 1.8 0.036 28 117 0.99269 3.24 0.48 11 6 "white"
"4150" 6.2 0.33 0.14 4.8 0.052 27 128 0.99475 3.21 0.48 9.4 5 "white"
"4154" 6.4 0.15 0.44 1.2 0.043 67 150 0.9907 3.14 0.73 11.2 7 "white"
"4160" 6.9 0.32 0.26 2.3 0.03 11 103 0.99106 3.06 0.42 11.1 6 "white"
"4169" 6.6 0.24 0.24 8.6 0.034 25 135 0.99582 3.33 0.59 10.3 6 "white"
"4171" 7 0.16 0.32 1.1 0.032 29 80 0.98972 3.23 0.36 12.1 6 "white"
"4173" 6.3 0.34 0.36 4.9 0.035 31 185 0.9946 3.15 0.49 9.7 5 "white"
"4175" 6.7 0.17 0.42 10.4 0.038 85 182 0.99628 3.04 0.44 8.9 6 "white"
"4176" 6.5 0.27 0.4 10 0.039 74 227 0.99582 3.18 0.5 9.4 5 "white"
"4179" 6.4 0.28 0.56 1.7 0.156 49 106 0.99354 3.1 0.37 9.2 6 "white"
"4187" 5.1 0.14 0.25 0.7 0.039 15 89 0.9919 3.22 0.43 9.2 6 "white"
"4193" 6.3 0.21 0.29 11.7 0.048 49 147 0.99482 3.22 0.38 10.8 5 "white"
"4196" 7.8 0.28 0.31 2.1 0.046 28 208 0.99434 3.23 0.64 9.8 5 "white"
"4199" 6.9 0.32 0.27 16 0.034 58 185 0.99938 3.34 0.6 9 6 "white"
"4229" 5.8 0.6 0 1.3 0.044 72 197 0.99202 3.56 0.43 10.9 5 "white"
"4239" 9.2 0.14 0.37 1.1 0.034 36 84 0.99136 3.05 0.55 11.6 6 "white"
"4240" 7.4 0.2 0.37 1.2 0.028 28 89 0.99132 3.14 0.61 11.8 6 "white"
"4245" 6.7 0.12 0.3 5.2 0.048 38 113 0.99352 3.33 0.44 10.1 7 "white"
"4247" 5.8 0.15 0.28 0.8 0.037 43 127 0.99198 3.24 0.51 9.3 5 "white"
"4248" 6.6 0.23 0.29 14.45 0.057 29 144 0.99756 3.33 0.54 10.2 6 "white"
"4259" 7.1 0.15 0.34 1 0.033 27 73 0.98974 3.24 0.41 12.2 6 "white"
"4263" 8 0.13 0.25 1.1 0.033 15 86 0.99044 2.98 0.39 11.2 8 "white"
"4264" 6.2 0.21 0.34 6.6 0.03 36 91 0.9914 3.32 0.45 12.5 7 "white"
"4276" 7.6 0.1 0.33 1 0.031 33 93 0.99094 3.06 0.68 11.2 6 "white"
"4279" 7.6 0.18 0.28 7.1 0.041 29 110 0.99652 3.2 0.42 9.2 6 "white"
"4293" 6.7 0.23 0.25 1.6 0.036 28 143 0.99256 3.3 0.54 10.3 6 "white"
"4294" 6.2 0.28 0.27 10.3 0.03 26 108 0.99388 3.2 0.36 10.7 6 "white"
"4295" 5.7 0.23 0.28 9.65 0.025 26 121 0.9925 3.28 0.38 11.3 6 "white"
"4296" 6.5 0.22 0.5 16.4 0.048 36 182 0.99904 3.02 0.49 8.8 6 "white"
"4303" 6.5 0.23 0.36 16.3 0.038 43 133 0.99924 3.26 0.41 8.8 5 "white"
"4307" 6.5 0.23 0.36 16.3 0.038 43 133 0.99924 3.26 0.41 8.8 5 "white"
"4310" 7.8 0.25 0.34 13.7 0.044 66 184 0.99976 3.22 0.75 8.9 5 "white"
"4319" 7.5 0.18 0.31 6.5 0.029 53 160 0.99276 3.03 0.38 10.9 6 "white"
"4322" 7.6 0.4 0.27 5.2 0.03 32 101 0.99172 3.22 0.62 12.3 7 "white"
"4326" 5.3 0.2 0.31 3.6 0.036 22 91 0.99278 3.41 0.5 9.8 6 "white"
"4330" 6.8 0.3 0.22 6.2 0.06 41 190 0.99858 3.18 0.51 9.2 5 "white"
"4331" 7.9 0.51 0.36 6.2 0.051 30 173 0.9984 3.09 0.53 9.7 5 "white"
"4332" 7.9 0.51 0.34 2.6 0.049 13 135 0.99335 3.09 0.51 10 5 "white"
"4333" 6.5 0.29 0.31 1.7 0.035 24 79 0.99053 3.27 0.69 11.4 7 "white"
"4334" 7.1 0.29 0.28 9.3 0.048 50 141 0.9949 3.13 0.49 10.3 6 "white"
"4339" 6.8 0.32 0.28 4.8 0.034 25 100 0.99026 3.08 0.47 12.4 7 "white"
"4343" 6.7 0.27 0.33 3.6 0.034 9 45 0.99144 3.08 0.4 10.5 6 "white"
"4345" 6.7 0.44 0.22 4.3 0.032 19 99 0.99015 3.26 0.53 12.8 7 "white"
"4349" 7.3 0.26 0.33 11.8 0.057 48 127 0.99693 3.1 0.55 10 6 "white"
"4367" 7.9 0.16 0.3 7.4 0.05 58 152 0.99612 3.12 0.37 9.5 6 "white"
"4371" 6.3 0.2 0.24 1.7 0.052 36 135 0.99374 3.8 0.66 10.8 6 "white"
"4376" 7 0.36 0.32 10.5 0.045 35 135 0.9935 3.09 0.33 11.6 8 "white"
"4390" 7.1 0.2 0.31 6.85 0.053 32 211 0.99587 3.31 0.59 10.4 6 "white"
"4395" 6.4 0.22 0.32 7.2 0.028 15 83 0.993 3.13 0.55 10.9 8 "white"
"4397" 6.8 0.35 0.53 10.1 0.053 37 151 0.9963 3.07 0.4 9.4 5 "white"
"4401" 6.8 0.26 0.44 8.2 0.046 52 183 0.99584 3.2 0.51 9.4 5 "white"
"4411" 7.4 0.3 0.32 1.7 0.03 23 128 0.9929 3.17 0.66 10.9 5 "white"
"4412" 6.7 0.16 0.34 1.6 0.026 27 109 0.9934 3.34 0.58 10.1 6 "white"
"4417" 6.7 0.19 0.39 1 0.032 14 71 0.98912 3.31 0.38 13 7 "white"
"4430" 6.6 0.22 0.34 11.6 0.05 59 140 0.99526 3.22 0.4 10.8 5 "white"
"4441" 5.5 0.375 0.38 1.7 0.036 17 98 0.99142 3.29 0.39 10.5 6 "white"
"4444" 8 0.22 0.31 5.6 0.049 24 97 0.993 3.1 0.42 10.9 5 "white"
"4452" 7.9 0.2 0.39 1 0.041 37 154 0.99093 3.08 0.43 11.9 5 "white"
"4457" 6.6 0.29 0.31 3.9 0.027 39 96 0.99035 3.24 0.6 12.6 8 "white"
"4460" 7.3 0.21 0.33 1 0.037 66 144 0.9923 3.11 0.52 10.2 6 "white"
"4462" 5.1 0.11 0.32 1.6 0.028 12 90 0.99008 3.57 0.52 12.2 6 "white"
"4463" 6.5 0.15 0.32 1.3 0.036 19 76 0.98964 3.18 0.41 12.3 6 "white"
"4464" 5.3 0.16 0.39 1 0.028 40 101 0.99156 3.57 0.59 10.6 6 "white"
"4467" 6.7 0.48 0.32 1.4 0.021 22 121 0.9889 3.15 0.53 12.7 7 "white"
"4468" 6.2 0.23 0.23 1.2 0.018 18 128 0.99178 3.05 0.28 10.6 5 "white"
"4470" 6.7 0.48 0.32 1.4 0.021 22 121 0.9889 3.15 0.53 12.7 7 "white"
"4473" 5.8 0.21 0.32 1.6 0.045 38 95 0.98946 3.23 0.94 12.4 8 "white"
"4480" 7.9 0.25 0.35 6.7 0.039 22 64 0.99362 2.93 0.49 10.7 5 "white"
"4481" 7.2 0.21 0.28 2.7 0.033 38 94 0.99075 2.99 0.43 11.8 7 "white"
"4484" 7 0.28 0.32 7.75 0.032 30 114 0.99158 3.12 0.64 12.8 7 "white"
"4490" 5.2 0.285 0.29 5.15 0.035 64 138 0.9895 3.19 0.34 12.4 8 "white"
"4492" 6.7 0.42 0.46 9.7 0.054 67 234 0.99848 3.23 0.5 9 5 "white"
"4493" 6.2 0.16 0.34 1.7 0.038 85 153 0.9909 3.33 0.86 12 7 "white"
"4498" 8.6 0.18 0.28 0.8 0.032 25 78 0.99104 2.99 0.38 11.1 5 "white"
"4499" 6.2 0.21 0.26 13.1 0.05 59 150 0.99772 3.31 0.46 9 5 "white"
"4506" 6.6 0.26 0.46 6.9 0.047 59 183 0.99594 3.2 0.45 9.3 5 "white"
"4512" 6.5 0.22 0.32 2.2 0.028 36 92 0.99076 3.27 0.59 11.9 7 "white"
"4515" 6.9 0.14 0.38 1 0.041 22 81 0.99043 3.03 0.54 11.4 6 "white"
"4520" 7.4 0.28 0.4 11.9 0.032 13 92 0.99629 3.01 0.46 10.8 4 "white"
"4533" 6.9 0.22 0.31 6.3 0.029 41 131 0.99326 3.08 0.49 10.8 6 "white"
"4534" 5.3 0.21 0.29 0.7 0.028 11 66 0.99215 3.3 0.4 9.8 5 "white"
"4535" 7.1 0.27 0.28 1.25 0.023 3 89 0.98993 2.95 0.3 11.4 4 "white"
"4540" 7.1 0.29 0.34 7.8 0.036 49 128 0.99397 3.21 0.4 10.7 6 "white"
"4542" 6.8 0.26 0.46 8.3 0.037 49 173 0.99601 3.17 0.47 9.3 5 "white"
"4552" 6.1 0.27 0.25 1.8 0.041 9 109 0.9929 3.08 0.54 9 5 "white"
"4554" 6.4 0.29 0.3 2.9 0.036 25 79 0.99037 3.29 0.6 12.4 7 "white"
"4561" 6.9 0.23 0.41 8 0.03 30 114 0.99368 3.22 0.54 11 6 "white"
"4584" 6.9 0.3 0.3 10.55 0.037 4 28 0.99184 3.07 0.32 12.7 6 "white"
"4585" 6.7 0.18 0.28 10.2 0.039 29 115 0.99469 3.11 0.45 10.9 7 "white"
"4587" 6.8 0.18 0.28 9.8 0.039 29 113 0.99406 3.11 0.45 10.9 7 "white"
"4588" 7.2 0.19 0.31 6.3 0.034 17 103 0.99305 3.15 0.52 11.4 7 "white"
"4593" 6.8 0.18 0.28 9.8 0.039 29 113 0.99406 3.11 0.45 10.9 7 "white"
"4597" 6.9 0.25 0.33 1.2 0.035 35 158 0.99082 3.02 0.58 11.3 6 "white"
"4603" 7.2 0.19 0.31 6.3 0.034 17 103 0.99305 3.15 0.52 11.4 7 "white"
"4610" 6.7 0.25 0.31 1.35 0.061 30.5 218 0.99388 3.16 0.53 9.5 5 "white"
"4622" 8 0.74 0.21 4 0.05 24 133 0.99418 3.06 0.38 9.7 5 "white"
"4623" 7 0.45 0.34 19.8 0.04 12 67 0.9976 3.07 0.38 11 6 "white"
"4632" 6.7 0.14 0.46 1.6 0.036 15 92 0.99264 3.37 0.49 10.9 5 "white"
"4637" 6.3 0.33 0.42 17.2 0.037 57 170 0.99884 3.26 0.57 9.4 6 "white"
"4640" 6.3 0.2 0.37 11.8 0.045 58 130 0.99519 3.2 0.35 10.8 5 "white"
"4641" 6.2 0.33 0.41 16.8 0.037 58 173 0.99882 3.25 0.57 9.4 6 "white"
"4643" 7.2 0.21 1 1.1 0.154 46 114 0.9931 2.95 0.43 9.2 6 "white"
"4651" 7.5 0.33 0.38 8.7 0.126 49 199 0.99711 2.98 0.57 9.4 5 "white"
"4654" 5.8 0.15 0.31 5.9 0.036 7 73 0.99152 3.2 0.43 11.9 6 "white"
"4657" 7.2 0.27 0.37 5.4 0.026 27 114 0.99174 3.13 0.84 12.7 5 "white"
"4659" 8.5 0.19 0.48 1.1 0.026 23 58 0.99184 2.9 0.5 10.5 6 "white"
"4664" 7.4 0.21 0.8 12.3 0.038 77 183 0.99778 2.95 0.48 9 5 "white"
"4681" 6.2 0.25 0.54 7 0.046 58 176 0.99454 3.19 0.7 10.4 5 "white"
"4685" 8.5 0.23 0.4 9.9 0.036 24 88 0.9951 3.02 0.42 10.5 6 "white"
"4686" 5.8 0.31 0.32 4.5 0.024 28 94 0.98906 3.25 0.52 13.7 7 "white"
"4687" 6.1 0.2 0.34 9.5 0.041 38 201 0.995 3.14 0.44 10.1 3 "white"
"4695" 9.7 0.24 0.49 4.9 0.032 3 18 0.99368 2.85 0.54 10 6 "white"
"4697" 6.6 0.78 0.5 1.5 0.045 30 133 0.99104 3.25 0.48 11.7 5 "white"
"4699" 6.7 0.34 0.4 2.1 0.033 34 111 0.98924 2.97 0.48 12.2 7 "white"
"4701" 7 0.26 0.34 10.9 0.038 25 84 0.99432 3.11 0.34 10.9 6 "white"
"4707" 7.7 0.25 0.49 2.5 0.047 31 169 0.99252 3.07 0.57 10.6 6 "white"
"4712" 7.6 0.23 0.34 1.6 0.043 24 129 0.99305 3.12 0.7 10.4 5 "white"
"4714" 6.3 0.17 0.32 4.2 0.04 37 117 0.99182 3.24 0.43 11.3 6 "white"
"4717" 6.5 0.23 0.39 1.9 0.036 41 98 0.99 3.19 0.43 11.9 7 "white"
"4720" 6.2 0.25 0.42 8 0.049 53 206 0.99586 3.16 0.47 9.1 6 "white"
"4726" 7.2 0.17 0.37 6.9 0.059 47 128 0.99322 3.08 0.46 11 7 "white"
"4730" 6.5 0.33 0.38 2.5 0.047 30 148 0.98964 3.17 0.43 12.7 6 "white"
"4740" 6.6 0.39 0.39 11.9 0.057 51 221 0.99851 3.26 0.51 8.9 6 "white"
"4745" 6.2 0.23 0.36 17.2 0.039 37 130 0.99946 3.23 0.43 8.8 6 "white"
"4746" 6.2 0.23 0.36 17.2 0.039 37 130 0.99946 3.23 0.43 8.8 6 "white"
"4747" 7.2 0.32 0.4 8.7 0.038 45 154 0.99568 3.2 0.47 10.4 6 "white"
"4748" 6.2 0.23 0.36 17.2 0.039 37 130 0.99946 3.23 0.43 8.8 6 "white"
"4753" 5.8 0.29 0.33 3.7 0.029 30 88 0.98994 3.25 0.42 12.3 6 "white"
"4754" 7.2 0.4 0.38 2.2 0.03 40 109 0.99075 3.27 0.46 12.6 6 "white"
"4758" 7.1 0.36 0.37 4.8 0.019 39 114 0.99036 3.08 0.49 12.7 7 "white"
"4764" 7.8 0.3 0.36 4.6 0.024 20 198 0.99222 3.06 0.66 11.9 6 "white"
"4765" 6.1 0.68 0.52 1.4 0.037 32 123 0.99022 3.24 0.45 12 6 "white"
"4767" 5.6 0.28 0.4 6.1 0.034 36 118 0.99144 3.21 0.43 12.1 7 "white"
"4768" 6.2 0.19 0.38 5.1 0.019 22 82 0.98961 3.05 0.36 12.5 6 "white"
"4780" 6.5 0.24 0.38 1 0.027 31 90 0.98926 3.24 0.36 12.3 6 "white"
"4782" 5.5 0.12 0.33 1 0.038 23 131 0.99164 3.25 0.45 9.8 5 "white"
"4791" 7.6 0.24 0.44 3.8 0.037 49 146 0.9911 3.06 0.37 11.6 6 "white"
"4800" 5.2 0.31 0.36 5.1 0.031 46 145 0.9897 3.14 0.31 12.4 7 "white"
"4820" 9 0.38 0.53 2.1 0.102 19 76 0.99001 2.93 0.57 12.9 5 "white"
"4822" 6.6 0.16 0.34 1.1 0.037 41 115 0.9899 3.01 0.68 12 6 "white"
"4823" 8.2 0.3 0.44 12.4 0.043 52 154 0.99452 3.04 0.33 12 6 "white"
"4829" 6.2 0.2 0.26 1.1 0.047 42 119 0.99158 3.48 0.6 11 7 "white"
"4830" 6.7 0.13 0.57 6.6 0.056 60 150 0.99548 2.96 0.43 9.4 6 "white"
"4831" 6.8 0.21 0.37 7 0.038 27 107 0.99206 2.98 0.82 11.5 6 "white"
"4833" 6.2 0.2 0.29 11.8 0.035 21 93 0.99364 3.18 0.34 11.9 6 "white"
"4837" 6.4 0.23 0.35 4.6 0.039 43 147 0.99216 3.18 0.4 11 7 "white"
"4853" 5.3 0.3 0.16 4.2 0.029 37 100 0.9905 3.3 0.36 11.8 8 "white"
"4869" 6.6 0.38 0.36 9.2 0.061 42 214 0.9976 3.31 0.56 9.4 5 "white"
"4870" 6.4 0.15 0.29 1.8 0.044 21 115 0.99166 3.1 0.38 10.2 5 "white"
"4871" 6.5 0.32 0.34 5.7 0.044 27 91 0.99184 3.28 0.6 12 7 "white"
"4873" 6.4 0.23 0.32 1.9 0.038 40 118 0.99074 3.32 0.53 11.8 7 "white"
"4876" 6.6 0.23 0.3 4.6 0.06 29 154 0.99142 3.23 0.49 12.2 8 "white"
"4879" 7.4 0.16 0.32 1.4 0.065 23 140 0.99134 3.06 0.47 11.4 6 "white"
"4883" 6.6 0.2 0.14 4.4 0.184 35 168 0.99396 2.93 0.45 9.4 6 "white"
"4893" 6.8 0.17 0.35 1.8 0.04 29 84 0.98961 2.91 0.57 12 7 "white"
"4903" 6.3 0.22 0.34 5 0.032 36 93 0.99012 3.27 0.36 13.5 7 "white"
"4922" 5.7 0.26 0.3 1.8 0.039 30 105 0.98995 3.48 0.52 12.5 7 "white"
"4928" 6.4 0.24 0.29 1 0.038 18 122 0.9906 3.3 0.42 11.5 5 "white"
"4929" 6.7 0.21 0.34 1.4 0.049 36 112 0.99091 3.02 0.5 11 6 "white"
"4936" 6.9 0.38 0.29 13.65 0.048 52 189 0.99784 3 0.6 9.5 6 "white"
"4938" 7.2 0.27 0.28 15.2 0.046 6 41 0.99665 3.17 0.39 10.9 6 "white"
"4944" 6.9 0.38 0.29 13.65 0.048 52 189 0.99784 3 0.6 9.5 6 "white"
"4947" 6.6 0.16 0.21 6.7 0.055 43 157 0.99384 3.15 0.52 10.8 6 "white"
"4949" 6.4 0.17 0.27 9.9 0.047 26 101 0.99596 3.34 0.5 9.9 6 "white"
"4951" 6 0.22 0.28 1.1 0.034 47 90 0.98862 3.22 0.38 12.6 6 "white"
"4961" 6.4 0.17 0.27 9.9 0.047 26 101 0.99596 3.34 0.5 9.9 6 "white"
"4965" 7.6 0.2 0.26 4.8 0.033 26 76 0.99076 2.98 0.49 12.3 7 "white"
"4968" 6.6 0.18 0.28 1.7 0.041 53 161 0.99207 3.13 0.45 10.2 6 "white"
"4971" 6.2 0.3 0.21 1.1 0.032 31 111 0.9889 2.97 0.42 12.2 6 "white"
"4973" 6.9 0.28 0.24 2.1 0.034 49 121 0.98882 2.98 0.43 13.2 7 "white"
"4981" 6.9 0.19 0.35 6.9 0.045 51 125 0.9933 3.1 0.44 10.7 7 "white"
"4995" 6.6 0.26 0.46 7.8 0.047 48 186 0.9958 3.2 0.54 9.1 5 "white"
"5006" 5.6 0.32 0.33 7.4 0.037 25 95 0.99268 3.25 0.49 11.1 6 "white"
"5014" 8.9 0.3 0.35 4.6 0.032 32 148 0.99458 3.15 0.45 11.5 7 "white"
"5020" 7.6 0.28 0.49 20.15 0.06 30 145 1.00196 3.01 0.44 8.5 5 "white"
"5021" 6.3 0.29 0.28 4.7 0.059 28 81 0.99036 3.24 0.56 12.7 8 "white"
"5026" 7.1 0.17 0.4 14.55 0.047 47 156 0.99945 3.34 0.78 9.1 6 "white"
"5031" 7.1 0.18 0.39 15.25 0.047 45 158 0.99946 3.34 0.77 9.1 6 "white"
"5032" 7.8 0.29 0.29 3.15 0.044 41 117 0.99153 3.24 0.35 11.5 5 "white"
"5034" 8.2 0.34 0.29 5.2 0.076 19 92 0.99138 2.95 0.39 12.5 6 "white"
"5042" 5.9 0.27 0.27 5 0.035 14 97 0.99058 3.1 0.33 11.8 7 "white"
"5048" 6.7 0.47 0.29 4.75 0.034 29 134 0.99056 3.29 0.46 13 7 "white"
"5062" 6.8 0.17 0.34 2 0.04 38 111 0.99 3.24 0.45 12.9 6 "white"
"5064" 6.9 0.29 0.41 7.8 0.046 52 171 0.99537 3.12 0.51 9.6 5 "white"
"5070" 6.7 0.24 0.3 3.85 0.042 105 179 0.99189 3.04 0.59 11.3 8 "white"
"5074" 6.5 0.22 0.19 1.1 0.064 36 191 0.99297 3.05 0.5 9.5 6 "white"
"5107" 7.1 0.36 0.28 2.4 0.036 35 115 0.98936 3.19 0.44 13.5 7 "white"
"5111" 6.5 0.19 0.28 1.4 0.046 22 90 0.99038 3.18 0.51 11.7 7 "white"
"5113" 7.9 0.35 0.28 12.9 0.032 13 63 0.9932 2.99 0.43 13 6 "white"
"5114" 7.7 0.38 0.23 10.8 0.03 28 95 0.99164 2.93 0.41 13.6 6 "white"
"5120" 6 0.23 0.15 9.7 0.048 101 207 0.99571 3.05 0.3 9.1 5 "white"
"5121" 5.9 0.23 0.24 3.8 0.038 61 152 0.99139 3.31 0.5 11.3 7 "white"
"5123" 6 0.23 0.15 9.7 0.048 101 207 0.99571 3.05 0.3 9.1 5 "white"
"5125" 5.3 0.36 0.27 6.3 0.028 40 132 0.99186 3.37 0.4 11.6 6 "white"
"5129" 7.1 0.35 0.27 3.1 0.034 28 134 0.9897 3.26 0.38 13.1 7 "white"
"5130" 7.2 0.31 0.35 7.2 0.046 45 178 0.9955 3.14 0.53 9.7 5 "white"
"5134" 7.2 0.31 0.35 7.2 0.046 45 178 0.9955 3.14 0.53 9.7 5 "white"
"5139" 7.2 0.27 0.31 1.2 0.031 27 80 0.98892 3.03 0.33 12.7 6 "white"
"5142" 6.6 0.23 0.37 8.5 0.036 46 153 0.99576 3.2 0.48 9.4 6 "white"
"5150" 7.2 0.14 0.32 1.1 0.022 48 116 0.99218 3.04 0.67 10 6 "white"
"5151" 5.7 0.22 0.22 16.65 0.044 39 110 0.99855 3.24 0.48 9 6 "white"
"5160" 6.6 0.64 0.28 4.4 0.032 19 78 0.99036 3.11 0.62 12.9 6 "white"
"5169" 8 0.25 0.27 9.7 0.036 15 85 0.99406 2.99 0.36 11.2 6 "white"
"5183" 7.7 0.24 0.3 1.4 0.041 15 102 0.9929 3.26 0.53 10.4 6 "white"
"5184" 7.4 0.25 0.28 7.25 0.028 14 78 0.99238 2.94 0.37 11.5 7 "white"
"5192" 5.6 0.28 0.27 3.9 0.043 52 158 0.99202 3.35 0.44 10.7 7 "white"
"5194" 6.8 0.19 0.32 7.6 0.049 37 107 0.99332 3.12 0.44 10.7 7 "white"
"5195" 7.2 0.16 0.29 1 0.031 40 123 0.98958 3.12 0.4 12.1 7 "white"
"5196" 6.6 0.17 0.28 1.1 0.034 55 108 0.98939 3 0.52 11.9 7 "white"
"5198" 5.8 0.2 0.24 1.4 0.033 65 169 0.99043 3.59 0.56 12.3 7 "white"
"5203" 7 0.32 0.27 7.1 0.027 37 122 0.99165 3.15 0.6 12.6 7 "white"
"5207" 6.8 0.14 0.18 1.4 0.047 30 90 0.99164 3.27 0.54 11.2 6 "white"
"5216" 7.7 0.32 0.61 11.8 0.041 66 188 0.99794 3 0.54 9.3 5 "white"
"5217" 7 0.29 0.33 0.9 0.041 20 117 0.99048 3.21 0.5 11.4 5 "white"
"5225" 7.7 0.32 0.61 11.8 0.041 66 188 0.99794 3 0.54 9.3 5 "white"
"5228" 6.4 0.38 0.2 5.3 0.117 57 181 0.99459 3.24 0.43 9.5 6 "white"
"5243" 6.8 0.19 0.33 4.9 0.047 42 130 0.99283 3.12 0.56 11 6 "white"
"5244" 6.4 0.24 0.23 2 0.046 30 133 0.9908 3.12 0.54 11.4 7 "white"
"5251" 6.3 0.32 0.17 17.75 0.06 51 190 0.99916 3.13 0.48 8.8 6 "white"
"5256" 7.1 0.28 0.28 8.5 0.03 25 191 0.99338 3.16 0.46 12.2 7 "white"
"5267" 5.8 0.32 0.28 4.3 0.032 46 115 0.98946 3.16 0.57 13 8 "white"
"5282" 6.4 0.16 0.44 1.2 0.051 39 122 0.99058 3.11 0.75 11.3 7 "white"
"5283" 6.8 0.15 0.41 12.9 0.044 79.5 183 0.99742 3.24 0.78 10.2 6 "white"
"5285" 6.8 0.15 0.41 12.9 0.044 79.5 183 0.99742 3.24 0.78 10.2 6 "white"
"5291" 7.4 0.22 0.26 8.8 0.027 23 112 0.9931 2.98 0.41 11.4 6 "white"
"5292" 7.1 0.2 0.27 9.6 0.037 19 105 0.99444 3.04 0.37 10.5 7 "white"
"5308" 7.7 0.35 0.46 11.8 0.088 61 183 0.99786 2.86 0.47 9 5 "white"
"5309" 6.7 0.31 0.09 1.4 0.039 53 141 0.99206 3.12 0.44 10.1 5 "white"
"5312" 6.3 0.2 0.18 10.6 0.045 57 159 0.99666 3.09 0.54 9.2 5 "white"
"5315" 6.5 0.35 0.38 7.4 0.036 20 196 0.99712 3.47 0.48 9.1 6 "white"
"5316" 6.8 0.22 0.26 1.2 0.041 29 182 0.99104 3.04 0.35 11.2 5 "white"
"5322" 7.7 0.31 0.23 2 0.069 29 134 0.99382 3.11 0.62 9.8 5 "white"
"5329" 7.5 0.28 0.41 1.3 0.044 11 126 0.99293 3.28 0.45 10.3 5 "white"
"5337" 7.1 0.21 0.72 1.6 0.167 65 120 0.99324 2.97 0.51 9.2 5 "white"
"5339" 7 0.15 0.28 14.7 0.051 29 149 0.99792 2.96 0.39 9 7 "white"
"5343" 7 0.15 0.28 14.7 0.051 29 149 0.99792 2.96 0.39 9 7 "white"
"5353" 6.6 0.27 0.33 1.4 0.042 24 183 0.99215 3.29 0.46 10.7 5 "white"
"5357" 6.5 0.26 0.34 1.4 0.04 25 184 0.99216 3.29 0.46 10.7 5 "white"
"5367" 6.9 0.4 0.17 12.9 0.033 59 186 0.99754 3.08 0.49 9.4 5 "white"
"5371" 6.1 0.27 0.28 9.8 0.042 61 125 0.99532 3.14 0.42 10.2 6 "white"
"5378" 6.3 0.15 0.3 1.4 0.022 38 100 0.99099 3.42 0.57 11.4 7 "white"
"5379" 6.5 0.32 0.45 7.7 0.022 31 97 0.99134 3.2 0.7 12.7 7 "white"
"5382" 7.6 0.27 0.3 9.2 0.018 23 96 0.9938 3.08 0.29 11 6 "white"
"5383" 6.4 0.27 0.45 8.3 0.05 52 196 0.9955 3.18 0.48 9.5 5 "white"
"5385" 5.6 0.19 0.31 2.7 0.027 11 100 0.98964 3.46 0.4 13.2 7 "white"
"5398" 7.9 0.21 0.39 2 0.057 21 138 0.99176 3.05 0.52 10.9 5 "white"
"5406" 7 0.39 0.21 10.7 0.098 13 91 0.99657 3.03 0.47 9.3 5 "white"
"5411" 7.2 0.28 0.38 2 0.052 23 156 0.9912 3.13 0.52 11.1 5 "white"
"5418" 5.1 0.35 0.26 6.8 0.034 36 120 0.99188 3.38 0.4 11.5 6 "white"
"5421" 6.9 0.28 0.28 12.2 0.042 52 139 0.99522 3.03 0.56 10.4 6 "white"
"5431" 6.8 0.31 0.19 3.5 0.086 30 130 0.993 2.83 0.44 9.6 5 "white"
"5432" 6.8 0.31 0.19 3.5 0.086 30 130 0.993 2.83 0.44 9.6 5 "white"
"5433" 7 0.15 0.29 16.4 0.058 45 110 0.9978 3.15 0.37 9.7 6 "white"
"5435" 6.2 0.31 0.23 3.3 0.052 34 113 0.99429 3.16 0.48 8.4 5 "white"
"5437" 8 0.27 0.33 1.2 0.05 41 103 0.99002 3 0.45 12.4 6 "white"
"5440" 6.7 0.37 0.25 2.5 0.028 24 84 0.9909 3.14 0.36 11.7 6 "white"
"5443" 7.5 0.34 0.28 4 0.028 46 100 0.98958 3.2 0.5 13.2 7 "white"
"5449" 8.2 0.31 0.43 7 0.047 18 87 0.99628 3.23 0.64 10.6 5 "white"
"5451" 5.9 0.17 0.29 3.1 0.03 32 123 0.98913 3.41 0.33 13.7 7 "white"
"5455" 5.9 0.18 0.29 4.6 0.032 68 137 0.99159 3.21 0.38 11.3 6 "white"
"5457" 5.4 0.17 0.27 2.7 0.049 28 104 0.99224 3.46 0.55 10.3 6 "white"
"5458" 6.1 0.21 0.3 6.3 0.039 47 136 0.99068 3.27 0.31 12.7 6 "white"
"5461" 6.2 0.22 0.3 12.4 0.054 108 152 0.99728 3.1 0.47 9.5 6 "white"
"5466" 8.4 0.23 0.32 1.3 0.048 59 113 0.99178 3.1 0.55 11 6 "white"
"5468" 6 0.22 0.25 11.1 0.056 112 177 0.9961 3.08 0.36 9.4 6 "white"
"5469" 6.2 0.22 0.3 12.4 0.054 108 152 0.99728 3.1 0.47 9.5 6 "white"
"5471" 6.5 0.27 0.19 6.6 0.045 98 175 0.99364 3.16 0.34 10.1 6 "white"
